zip,county,res_ratio,bus_ratio,oth_ratio,tot_ratio
606,72153,0.002675840978593272,0.0,0.0,0.0025188916876574307
606,72093,0.9973241590214067,1.0,1.0,0.9974811083123426
617,72017,0.9824716020368194,1.0,1.0,0.9836469943358305
617,72054,0.01752839796318057,0.0,0.0,0.01635300566416956
674,72101,5.902142477719412e-05,0.0,0.0,5.2856916327501456e-05
674,72145,0.0035412854866316472,0.016496018202502846,0.022935779816513763,0.004968550134785137
674,72091,0.9963996930885911,0.9835039817974972,0.9770642201834863,0.9949785929488874
682,72097,1.0,1.0,1.0,1.0
698,72153,0.998269040553907,1.0,1.0,0.9983943112742287
698,72121,0.0017309594460929772,0.0,0.0,0.001605688725771304
725,72129,0.0003489670575097711,0.005460750853242321,0.0,0.0008057268585949363
725,72041,0.0033849804578447796,0.0,0.0,0.003005980972450339
725,72063,0.0009422110552763819,0.00034129692832764505,0.0,0.0008677058477176237
725,72007,0.010329424902289224,0.00034129692832764505,0.0,0.00920387988471908
725,72127,0.0006979341150195422,0.0,0.0,0.0006197898912268741
725,72025,0.9842964824120602,0.9938566552901024,1.0,0.9854969165452911
757,72133,0.9971467559856098,0.9682151589242054,1.0,0.9957825679475164
757,72123,0.002853244014390274,0.03178484107579462,0.0,0.004217432052483599
766,72075,0.002050681119085982,0.008450704225352112,0.0,0.0023516392308756398
766,72149,0.997949318880914,0.9915492957746479,1.0,0.9976483607691243
782,72127,0.030703259005145797,0.003937007874015748,0.05714285714285714,0.02974342212779866
782,72045,0.9620926243567753,0.984251968503937,0.9428571428571428,0.962902435038405
782,72021,0.007204116638078902,0.011811023622047244,0.0,0.007354142833796372
802,78030,1.0,1.0,1.0,1.0
934,72021,0.03982300884955752,0.01015228426395939,0.0,0.0327683615819209
934,72061,0.9601769911504425,0.9898477157360406,1.0,0.9672316384180791
965,72061,1.0,1.0,1.0,1.0
985,72031,1.0,1.0,1.0,1.0
1436,25027,1.0,1.0,1.0,1.0
1462,25027,0.9986787466968667,1.0,1.0,0.9987656497972139
1462,25017,0.0013212533031332577,0.0,0.0,0.0012343502027861047
1464,25017,1.0,1.0,1.0,1.0
1516,25027,1.0,1.0,1.0,1.0
1522,25027,1.0,1.0,1.0,1.0
1569,25027,1.0,1.0,1.0,1.0
1581,25027,1.0,1.0,1.0,1.0
1602,25027,1.0,1.0,1.0,1.0
1606,25027,1.0,1.0,1.0,1.0
1609,25027,1.0,1.0,1.0,1.0
1757,25027,1.0,1.0,1.0,1.0
1776,25017,1.0,1.0,1.0,1.0
1803,25017,1.0,1.0,1.0,1.0
1810,25017,0.00026986911347996224,0.0019206145966709346,0.0,0.00041334514319456744
1810,25009,0.9997301308865201,0.9980793854033291,1.0,0.9995866548568054
1854,25017,1.0,1.0,1.0,1.0
1862,25017,1.0,1.0,1.0,1.0
1879,25017,1.0,1.0,1.0,1.0
1902,25009,1.0,1.0,1.0,1.0
1960,25009,1.0,1.0,1.0,1.0
1970,25009,1.0,1.0,1.0,1.0
1982,25009,1.0,1.0,1.0,1.0
1985,25009,1.0,1.0,1.0,1.0
2026,25025,0.0010499188699055074,0.0,0.0,0.0009198862686067904
2026,25021,0.9989500811300945,1.0,1.0,0.9990801137313932
2030,25021,0.9953398058252427,1.0,1.0,0.9956458635703919
2030,25017,0.004660194174757282,0.0,0.0,0.0043541364296081275
2035,25021,1.0,1.0,1.0,1.0
2056,25021,1.0,1.0,1.0,1.0
2062,25021,1.0,1.0,1.0,1.0
2054,25017,0.009586578789694428,0.0,0.0,0.008655666756829862
2054,25021,0.9904134212103056,1.0,1.0,0.9913443332431702
2108,25025,1.0,1.0,1.0,1.0
2093,25021,1.0,1.0,1.0,1.0
2113,25025,1.0,1.0,1.0,1.0
2135,25025,0.9991993950985188,1.0,0.9974200206398349,0.9990987107645284
2135,25021,0.000800604901481119,0.0,0.0025799793601651187,0.0009012892354716094
2143,25025,0.0003399915002124947,0.0,0.0011037527593818985,0.00036379511059371364
2143,25017,0.9996600084997875,1.0,0.9988962472406181,0.9996362048894063
2169,25021,1.0,1.0,1.0,1.0
2171,25021,1.0,1.0,1.0,1.0
2188,25021,1.0,1.0,1.0,1.0
2476,25017,1.0,1.0,1.0,1.0
2482,25021,1.0,1.0,1.0,1.0
2642,25001,1.0,1.0,1.0,1.0
2645,25001,1.0,1.0,1.0,1.0
2660,25001,1.0,1.0,1.0,1.0
2657,25001,1.0,1.0,1.0,1.0
2659,25001,1.0,1.0,1.0,1.0
3044,33015,1.0,1.0,1.0,1.0
3033,33011,1.0,1.0,1.0,1.0
3086,33011,1.0,1.0,1.0,1.0
3108,33011,1.0,1.0,1.0,1.0
3253,33001,1.0,1.0,1.0,1.0
3218,33001,1.0,1.0,1.0,1.0
3245,33001,0.0008496176720475786,0.0,0.0,0.0007818608287724785
3245,33009,0.9991503823279524,1.0,1.0,0.9992181391712275
3431,33005,1.0,1.0,1.0,1.0
3303,33013,1.0,1.0,1.0,1.0
3282,33009,1.0,1.0,1.0,1.0
3774,33009,1.0,1.0,1.0,1.0
3784,33009,1.0,1.0,1.0,1.0
3748,33009,0.9899086977414705,1.0,1.0,0.9907407407407407
3748,33019,0.010091302258529554,0.0,0.0,0.009259259259259259
3602,33005,0.7726864330637916,0.6363636363636364,1.0,0.7705627705627706
3602,33019,0.22731356693620844,0.36363636363636365,0.0,0.22943722943722944
3825,33017,0.9997649271274095,1.0,1.0,0.9997917534360683
3825,33015,0.00023507287259050304,0.0,0.0,0.00020824656393169514
3838,33003,1.0,1.0,1.0,1.0
3819,33015,1.0,1.0,1.0,1.0
3839,33017,1.0,1.0,1.0,1.0
3857,33015,0.9997931747673217,1.0,1.0,0.9998096325909004
3857,33017,0.00020682523267838676,0.0,0.0,0.00019036740909956216
3840,33015,1.0,1.0,1.0,1.0
3901,23031,1.0,1.0,1.0,1.0
3886,33003,1.0,1.0,1.0,1.0
3878,33017,1.0,1.0,1.0,1.0
4001,23031,1.0,1.0,1.0,1.0
3904,23031,1.0,1.0,1.0,1.0
4062,23005,1.0,1.0,1.0,1.0
4043,23031,1.0,1.0,1.0,1.0
4015,23005,1.0,1.0,1.0,1.0
4030,23031,1.0,1.0,1.0,1.0
4093,23005,0.0009071666162685213,0.0,0.0,0.0008769365682548962
4093,23031,0.9990928333837314,1.0,1.0,0.9991230634317451
4109,23005,1.0,0.0,0.0,1.0
4212,23001,1.0,1.0,1.0,1.0
4220,23001,0.0029133284777858705,0.0,0.0,0.0028429282160625444
4220,23017,0.9970866715222141,1.0,1.0,0.9971570717839374
4276,23017,1.0,1.0,1.0,1.0
4240,23001,1.0,1.0,1.0,1.0
4268,23017,1.0,1.0,1.0,1.0
4274,23001,0.9987824675324676,1.0,1.0,0.9988262910798122
4274,23005,0.0012175324675324675,0.0,0.0,0.0011737089201877935
4270,23017,0.99614576033637,1.0,1.0,0.996351575456053
4270,23001,0.003854239663629993,0.0,0.0,0.003648424543946932
4426,23021,1.0,1.0,1.0,1.0
4345,23023,0.0007835762419683435,0.0,0.0,0.0007107320540156361
4345,23011,0.9992164237580317,1.0,1.0,0.9992892679459844
